ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;403;1515;0;1
1;386;1495;1;1
2;386;1495;2;1
3;742;600;3;1
4;1178;2088;4;1
5;561;1346;5;1
6;561;1346;6;1
7;321;1533;7;1
8;321;1533;8;1
9;644;330;9;1
10;1286;420;10;1
11;1286;420;11;1
12;1286;420;12;1
13;401;1515;13;1
14;401;1515;14;1
15;403;1515;15;1
16;808;818;16;1
17;462;1115;17;1
18;462;1115;18;1
19;462;1115;19;1
20;935;2013;20;1
21;935;2013;21;1
22;853;1797;22;1
23;853;1797;23;1
24;853;1797;24;1
25;853;1797;25;1
26;701;910;26;1
27;708;1324;27;1
28;752;1913;28;1
29;665;1852;29;1
30;810;284;30;1
31;520;1130;31;1
32;520;1130;32;1
33;719;1905;33;1
34;719;1905;34;1
35;808;818;35;1
36;814;1020;36;1
37;814;1020;37;1
38;1030;2093;38;1
39;508;820;39;1
40;508;820;40;1
41;508;820;41;1
42;700;910;42;1
43;700;910;43;1
44;641;1455;44;1
45;701;860;45;1
46;701;860;46;1
47;781;2039;47;1
48;686;1528;48;1
49;674;1001;49;1
50;674;1001;50;1
51;567;1332;51;1
52;567;1332;52;1
53;719;381;53;1
54;769;399;54;1
55;663;433;55;1
56;663;433;56;1
57;605;1258;57;1
58;605;1258;58;1
59;365;1507;59;1
60;365;1507;60;1
61;380;1507;61;1
62;380;1507;62;1
63;721;335;63;1
64;621;335;64;1
65;699;1174;65;1
66;669;399;66;1
67;484;718;67;1
68;484;718;68;1
69;1069;598;69;1
70;1071;799;70;1
71;500;540;71;1
72;601;398;72;1
73;539;872;73;1
74;735;872;74;1
75;545;872;75;1
76;572;872;76;1
77;645;926;77;1
78;633;872;78;1
79;645;872;79;1
80;645;872;80;1
81;593;1190;81;1
82;593;1190;82;1
83;735;1957;83;1
84;666;2205;84;1
85;780;838;85;1
